import time: self [us] | cumulative | imported package
import time:      1916 |       2660 |     pyqtgraph.widgets.ColorMapMenu
import time:      2539 |      49944 |   pyqtgraph.graphicsItems.ColorBarItem
import time:      1555 |       1555 |   pyqtgraph.graphicsItems.CurvePoint
import time:      2004 |       2004 |   pyqtgraph.graphicsItems.DateAxisItem
import time:       901 |        901 |   pyqtgraph.graphicsItems.ErrorBarItem
import time:       910 |        910 |   pyqtgraph.graphicsItems.FillBetweenItem
import time:       731 |        731 |         pyqtgraph.ThreadsafeTimer
import time:      1321 |       2051 |       pyqtgraph.SignalProxy
import time:      1672 |       3723 |     pyqtgraph.widgets.SpinBox
import time:      6710 |      10432 |   pyqtgraph.graphicsItems.GradientEditorItem
import time:       766 |        766 |     pyqtgraph.graphicsItems.UIGraphicsItem
import time:      1397 |       2162 |   pyqtgraph.graphicsItems.GradientLegend
import time:       925 |        925 |   pyqtgraph.graphicsItems.GraphicsLayout
import time:       863 |        863 |   pyqtgraph.graphicsItems.GraphItem
import time:       871 |        871 |   pyqtgraph.graphicsItems.GridItem
import time:      1139 |       1139 |   pyqtgraph.graphicsItems.HistogramLUTItem
import time:      1703 |       1703 |       numpy._typing._add_docstring
import time:      2250 |       3952 |     numpy.typing
import time:       607 |        607 |       pyqtgraph.util.numba_helper
import time:      1144 |       1751 |     pyqtgraph.functions_qimage
import time:      1925 |       7626 |   pyqtgraph.graphicsItems.ImageItem
import time:       831 |        831 |   pyqtgraph.graphicsItems.IsocurveItem
import time:      1586 |       1586 |   pyqtgraph.graphicsItems.PColorMeshItem
import time:       719 |        719 |           pyqtgraph.Vector
import time:      1138 |       1857 |         pyqtgraph.Transform3D
import time:      1322 |       3179 |       pyqtgraph.SRTTransform3D
import time:       965 |       4143 |     pyqtgraph.SRTTransform
import time:      3396 |       7539 |   pyqtgraph.graphicsItems.ROI
import time:       911 |        911 |   pyqtgraph.graphicsItems.ScaleBar
import time:      2058 |       2058 |   pyqtgraph.graphicsItems.TargetItem
import time:       909 |        909 |   pyqtgraph.graphicsItems.VTickGroup
import time:      1112 |       1112 |         pyqtgraph.widgets.GraphicsView
import time:       788 |        788 |         pyqtgraph.widgets.HistogramLUTWidget
import time:       861 |        861 |         pyqtgraph.widgets.PlotWidget
import time:      2332 |       5092 |       pyqtgraph.imageview.ImageViewTemplate_generic
import time:       379 |        379 |       bottleneck
import time:      2345 |       7815 |     pyqtgraph.imageview.ImageView
import time:      1371 |       9186 |   pyqtgraph.imageview
import time:       611 |        611 |   pyqtgraph.widgets.BusyCursor
import time:       672 |        672 |     pyqtgraph.widgets.VerticalLabel
import time:      1264 |       1935 |   pyqtgraph.widgets.CheckTable
import time:       943 |        943 |   pyqtgraph.widgets.ColorButton
import time:      1151 |       1151 |           pyqtgraph.parametertree.ParameterItem
import time:      2986 |       4137 |         pyqtgraph.parametertree.Parameter
import time:      1265 |       1265 |         pyqtgraph.parametertree.parameterTypes.action
import time:      1254 |       1254 |           pyqtgraph.parametertree.parameterTypes.basetypes
import time:      1768 |       3022 |         pyqtgraph.parametertree.parameterTypes.actiongroup
import time:       951 |        951 |         pyqtgraph.parametertree.parameterTypes.bool
import time:       919 |        919 |         pyqtgraph.parametertree.parameterTypes.calendar
import time:      1189 |       1189 |           pyqtgraph.parametertree.parameterTypes.list
import time:      2651 |       3839 |         pyqtgraph.parametertree.parameterTypes.checklist
import time:      1651 |       1651 |         pyqtgraph.parametertree.parameterTypes.color
import time:      1211 |       1211 |           pyqtgraph.widgets.GradientWidget
import time:      1848 |       3059 |         pyqtgraph.parametertree.parameterTypes.colormap
import time:      1257 |       1257 |           pyqtgraph.widgets.ColorMapButton
import time:      1609 |       2865 |         pyqtgraph.parametertree.parameterTypes.colormaplut
import time:       938 |        938 |           pyqtgraph.parametertree.parameterTypes.str
import time:      1755 |       2693 |         pyqtgraph.parametertree.parameterTypes.file
import time:      1015 |       1015 |         pyqtgraph.parametertree.parameterTypes.font
import time:       888 |        888 |         pyqtgraph.parametertree.parameterTypes.numeric
import time:       764 |        764 |           pyqtgraph.widgets.PenPreviewLabel
import time:       820 |        820 |           pyqtgraph.parametertree.parameterTypes.qtenum
import time:      2245 |       3828 |         pyqtgraph.parametertree.parameterTypes.pen
import time:      1116 |       1116 |         pyqtgraph.parametertree.parameterTypes.progress
import time:      1177 |       1177 |         pyqtgraph.parametertree.parameterTypes.slider
import time:      1081 |       1081 |         pyqtgraph.parametertree.parameterTypes.text
import time:     10584 |      44081 |       pyqtgraph.parametertree.parameterTypes
import time:      1169 |       1169 |         pyqtgraph.parametertree.SystemSolver
import time:      2115 |       3284 |       pyqtgraph.parametertree.ParameterSystem
import time:      2104 |       2104 |         pyqtgraph.widgets.TreeWidget
import time:      2276 |       4380 |       pyqtgraph.parametertree.ParameterTree
import time:      2792 |       2792 |           pkgutil
import time:      3607 |       3607 |           sysconfig
import time:       971 |        971 |             urllib
import time:      2807 |       2807 |             ipaddress
import time:      4623 |       8400 |           urllib.parse
import time:      1149 |       1149 |             _pyrepl
import time:      1427 |       2575 |           _pyrepl.pager
import time:       114 |        114 |           _sysconfig
import time:     12679 |      30165 |         pydoc
import time:      2951 |      33115 |       pyqtgraph.parametertree.interactive
import time:      3361 |      88219 |     pyqtgraph.parametertree
import time:      1253 |      89472 |   pyqtgraph.widgets.ColorMapWidget
import time:       895 |        895 |   pyqtgraph.widgets.ComboBox
import time:      1050 |       1050 |   pyqtgraph.widgets.DataFilterWidget
import time:      1019 |       1019 |     pyqtgraph.widgets.TableWidget
import time:      1552 |       2571 |   pyqtgraph.widgets.DataTreeWidget
import time:       928 |        928 |   pyqtgraph.widgets.DiffTreeWidget
import time:      1345 |       1345 |   pyqtgraph.widgets.FeedbackButton
import time:       706 |        706 |   pyqtgraph.widgets.GraphicsLayoutWidget
import time:       706 |        706 |     pyqtgraph.widgets.PathButton
import time:      1156 |       1861 |   pyqtgraph.widgets.GroupBox
import time:       725 |        725 |   pyqtgraph.widgets.JoystickButton
import time:       672 |        672 |   pyqtgraph.widgets.LayoutWidget
import time:      1007 |       1007 |   pyqtgraph.widgets.ProgressDialog
import time:       373 |        373 |       cuda
import time:        70 |        443 |     cuda.bindings
import time:      1107 |       1549 |   pyqtgraph.widgets.RawImageWidget
import time:       230 |        230 |     mmap
import time:      2353 |       2353 |             multiprocessing.process
import time:      4059 |       4059 |                 _socket
import time:      1415 |       1415 |                   select
import time:      2019 |       3434 |                 selectors
import time:      3951 |      11443 |               socket
import time:      4284 |      15727 |             multiprocessing.reduction
import time:      2622 |      20701 |           multiprocessing.context
import time:      1631 |      22332 |         multiprocessing
import time:      2761 |       2761 |             multiprocessing.util
import time:      1417 |       1417 |             _multiprocessing
import time:      2217 |       6394 |           multiprocessing.connection
import time:      1632 |       1632 |           pyqtgraph.multiprocess.remoteproxy
import time:      1924 |       9948 |         pyqtgraph.multiprocess.processes
import time:      1872 |      34151 |       pyqtgraph.multiprocess.parallelizer
import time:      1377 |      35527 |     pyqtgraph.multiprocess
import time:      2861 |      38617 |   pyqtgraph.widgets.RemoteGraphicsView
import time:      1122 |       1122 |   pyqtgraph.widgets.ScatterPlotWidget
import time:       839 |        839 |   pyqtgraph.widgets.ValueLabel
import time:     28591 |    1048867 | pyqtgraph
